Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
1,03/19/2024,EndersGate/MyPacks/Swap Your Collab pass/FAQ,Ex bug: FAQ link takes me to FAQ,FAQ displayed on the screen,"Receive the following error: “An error has occurred while switching chain, please try again.”",Yes,No,Narek Karapetyan
2,03/19/2024,EndersGate/Card Gallery,Ex bug: My owned cards come up as 0 in my card gallery,I have a 1 under the cards I own,Cards show zero owned,Yes,No,Narek Karapetyan
1,03/17/2024,Login,User case: OAthu takes wat too long with 4 different window pop-ups and email.,Less than 10 seconds to log back in,35ish seconds to login,Yes,No,Mohammad Asim Sheikh
2,03/17/2024,Login,Bug: Gives this error after OAth: TypeError: screen.orientation.lock is not a function,Begin gamplay,Error message,Yes,Yes,Mohammad Asim Sheikh
3,03/17/2024,Game,User case: Reached Max capacity,Begin gameplay,"Users maxed out, tried again 10 minutes later, but same result.",Yes,Yes,Mohammad Asim Sheikh
,03/15/2024,Login,Having to login everytime after I get kicked from the game is very frustrating,"If you have logged in recently in a browser game, that it would remember logins for a short time",Have to login and click through multiple tabs,yes,no,Nikolas Martell
3,03/17/2024,Edit profile,Clicked player frame tab on edit profile page,to edit the player frame tab,stayed on player icon tab and cannot click anything else,yes,no,Erin Maldonado
2,03/17/2024,Login Queue,user case: heavy volume of players,Login & play,Max capacity of players,yes,yes,Moises Alvarez
3,03/17/2024,Login Queue,user case: please try again in 10 minutes,Login & play,"again unable to play, max players",yes,yes,Moises Alvarez
4,03/17/2024,Login Authentication,user case: please wait message tool too long,Login,the page froze,yes,yes,Moises Alvarez
2,03/17/2024,Login,When logging back later in the day there was bandwith issues,to login into the game,"a queue of 10 mins but was 
 actually longer",yes,yes,Josue Ambrosio
2,03/17/2024,Login,"user case: After verifying email, I was placed in a login queue again after waiting 10 minutes",Login immediately or after 10 minutes had passed,20 minutes passed before I gave up and exited application,yes,no,Nolan Mendoza
3,03/17/2024,Login,bug: Unable to login after waiting over an hour and trying 3 different login attempts,To be logged in after 10 minutes in the queue as instructed,Never was able to login after tring for over an hour,yes,no,Nolan Mendoza
1,03/16/2024,Error on fighter essense,Wrong layers to pop up an error message.,The error message to be printed on top of the fighter essence pop up.,The error appeared in the back layer.,yes,no,Shiva Ramezani
2,,Game,"Chrome using almost 1,500 Mb, almost all of my Laptop Memory.","Game should run very smooth but it does not, very laggy. Game should run flawlesly on laptops","Screen is froze sometimes when starting tutorial. Chrome using 1,500 MB of memory.",yes,Yes,Albert Atshemyan
3,,Game,tutorial coins don't register correctly.,"coins of 1,000 don't register to the account unless I reload the page",screen is on 0 coins until after I reload the page,yes,Yes,Albert Atshemyan
4,,Game,Player switches tabs within the game interface.,"The game smoothly transitions to the newly selected tab, maintaining responsiveness and allowing the player to continue gameplay without interruption.","Upon switching tabs, the game freezes, becoming unresponsive to player input for an indefinite period.",yes,Yes,Albert Atshemyan
1,03/13/2024,UI/Game,Username change doesn’t affect tutorial,"Once the user change their username, it should affect tutorial session as well",The username reverts back to default uid upon entering tutorial,yes,no,Bao Ngo
1,03/16/2024,Login,when clicking get started I was immediately sent straight in with no way of logging in,Expected to be able to sign up when I press the sign in button,No page to get started,Yes,No,Sarkis Shil-Gevorkyan
2,03/16/2024,Game,No tutorial or intstruction,Some from of tutorial or even a help option,None at all,Yes,No,Sarkis Shil-Gevorkyan
3,03/17/2024,Game,Rewards shop takes me back to the start page,To show the actual reward shop,Sent back to start page,Yes,No,Sarkis Shil-Gevorkyan
Test #1,03/17/2024,Graphics,Ran the game graphics look better,Game to choppy and laggy,Smooth graphics/game looks much better,Yes,No,Alex Kevorkian
4,03/08/2024,Deck Builder Tutorial,Blue spotlight is oversized for everything it highlights,Blue spotlights are fittable size,Blue spotlights are oversized,yes,no,Rishabh Chadha
1,03/12/2024,Deck Builder,"Bug Case: The A-Z in deck builder does not put in alphabetical order, but rather organizes by Guardian cards and Action cards",Filter cards alphabetically,Filters cards by type,Yes,No,Inderjit Singh
1,03/09/2024,Arena match,bug: chat mute button doesn’t work,when mute button clicked then able to highlight the mute or not highlight,Nothing,yes,no,Mimi Truong
2,03/09/2024,adventure select,bug: play buton does not click,click play button start adventure,nothing,yes,yes,Mimi Truong
5,03/09/2024,arena battle,bug: was winning and then site just refreshed,I win but apparently this game doesn't want me to,was in the middle of attacking and then the page just refreshed,yes,yes,Mimi Truong
4,,Game Frames loading (On chrome,the game will not load the proper images and the frames would drop and as well the images something will look transparent or blurry,expected pictures and frames loading properly no matter if game is loaded on a window in chrome,the game wouldnt load properly amount of graphics and very poor environment loading and card effects would not load properly,yes,no,Javier Galan
2,03/12/2024,Arena,Bug: The slider Audio options in the Settings do not affect the volume,I expected the slider Audio options to adjust the respective volumes when changed,The slider Audio options did not adjust the volume when changed,Yes,No,Katrina Ortiz
5,03/12/2024,Arena,Bug: The symbol that pops up at the beginning of the game seems to be incomplete,I expected the symbol that appears in the middle of the Arena page to look more complete,The symbol that appears in the middle of the Arena at the start of the game appears to be missing some elements,Yes,No,Katrina Ortiz
9,03/12/2024,Arena,"Bug: If you click on an empty card space next to a ""Hired"" card that is in play, the options appear for the active card (Activate/Retire) that's next to it",I expected that the empty space next to an active card would not display any card options if clicked,The options for an active card appeared when the empty space was clicked next to the active card,Yes,No,Katrina Ortiz
1,03/12/2024,Login,Logging in Via Email,Log Successful,Stuck on this screen Image 1,Yes,No,Jack Konyan
1,03/12/2024,UI,Bug: Adeventure mode,Play adventure mode,Nothing works/ can't go back to home page,Yes,Yes,Ramon
2,03/12/2024,Tutorial,Bug: Skipping Tutorial parts,Follow the tutorial,"Can bypass certain pieces of the tutorial because the hit box of the indicators are to big, can stop the tutorial from conitnuing",Yes,Yes,
2,03/12/2024,Arena Battle,User Score,Be able to see what cards the opponent has used over the course of the battle like the user can see their own.,No way to see the list of cards the opponent has already used.,Y,N,Peter Hernandez
3,03/12/2024,Arena Battle,Card Action activation time confusion,User can see timer available for opponent to activate a Card Action,I was in battle and the opponent was not doing anything during their Card Action activation and I could not tell if they were stalling or not,Y,N,Peter Hernandez
,03/12/2024,UI,Select Different Pack types to buy in the shop.,Select other packs that arent NFT packs.,Only let me select NFT packs to buy in the shop didn’t let me select other options.,yes,yes,Jesse Cruz
,03/12/2024,UI,Buy Gen 0 pack drop,Take me to shop to buy packs.,"Prompted me to login ended up with an error message.""An error ocurred while switching cahins""",yes,no,Jesse Cruz
4,03/12/2024,game,bug: blaze bane continues to hold slot despite being dead twice,slot freed once card is dead,slot perminantly filled by card,yes,no,Michael Green
9,03/12/2024,Main Page,ex bug:When you click on Join Waitlist on the Ultraman window it just takes you back to the endersgate website not a waitlist.,Open a new browser or window where you can join a waitlist for the new content,It just takes you back to the endersgate website,yes,no,Melchor Abalos
2,08/03/2024,Game,bug: I got disconnected from the servers,Play the game,Got disconected in the middle of the game,yes,yes,Jorge Torrez
3,03/12/2024,during game,"Activating the ""Void trap"" card during opponets phase","""Void Trap"" card inflicts 50 damage to an opponets guardian and continues the opponents phase",the opponents phase stops,yes,yes,VictorUm
1,03/10/2024,Create Deck,"After entering an arena and choosing a deck, it doesnt let you exit to choose another card.",Choose deck and play game,Screen got stuck on card,Yes,Yes,Heather Gardner
4,03/12/2024,UI,bug: Back button functionality,Expect to go back to the previous menu,Goes back to previous menu AND LOGS PLAYER OUT,YES,Maybe,Jayms Stockdale
1,03/10/2024,Arena Game,Wrong player name and icon shown,To see my chosen username and my player icon,"It shows my default username ""0xb37…"" and the default player icon",Yes,No,Angeles Montalvo
3,03/10/2024,Arena Game,Health/life bar of opponent is not visible after half of it is reduced,Seeing how much health the opponent had left,As the life of my opponent was decreasing the numbers started to disappear/blend with the black background making it impossible for me to know how much life they got left,Yes,No,Angeles Montalvo
1,02/27/2024,Login,Too many unncessary actions need for simple Login thorugh Google,Simple authentication process one external tab,Multiple tabs needed to be open for login,yes,no,Cheol Han
3,02/27/2024,Postive,Great graphic overall with the sound,Basic desgin and graphic,exceeded my expectation,yes,no,Cheol Han
4,02/27/2024,negative,Last weekend I was able to play the tutorial now I cannot even acess the server,Faster loading time,Cannot play or server error,yes,no,Cheol Han
5,03/12/2024,Login,Expect login in history,No log in is required for couple hours,I had to log in everytime I exit out the page.,yes,no,Cheol Han
1,02/27/2024,UI/game,User Case: no hover feedback over buttons,highlight button upon mouse hover,nothing,yes,no,Jared Immerman
3,02/27/2024,General Usage,"User Case: using Google Chrome 
 Latency 3000+, bad fps",enough fps to understand what is happening,2-3 frames a second,yes,no,Jared Immerman
5,02/27/2024,Edit Profile,User Case: Categories not working,"Player Frame, Player Title, Player Banner 
 buttons go into their respected page layout",the buttons do not do anything,yes,no,Jared Immerman
6,02/27/2024,game,"Bug: force quite game, back to relogin page",play a game against an opponent,"game froze, then sent me back to my log 
 in page",yes,yes,Jared Immerman
3,03/12/2024,Game,User: Automatic log out,If im idle on page I expect to just stay logged in until I decide to log out,Logged out after like a minute or two of being idle,yes,no,Alondra Sanchez
1,03/10/2024,Game,Would not listen to my command end turn it would just stay on the screen,end my turn and let the opponent go,stuck on the same play,yes,no,Brian Rojas
7,03/11/2024,Game,User case: Game card deck RNG seems unfair,Constance Mix of Spell/Trap and Monster cards,Opponent or User constantly gets spell/trap cards,yes,no,Jaztin Tabunda
8,03/11/2024,Game,User case: I don't feel the money/coin restriction in battle,I shouldn't have enough money at the start to summon 4 monsters from my deck,I could summon 4 monsters and overpower opponent easily,yes,no,Jaztin Tabunda
1,03/11/2024,Login,bug: in the Wallet login. when clicking the Metamask,To open it's own portal,it opens the coinbase portal,yes,no,Yashira Almanza
3,03/11/2024,Game,bug: the pop-up its too fast,stay like 5 sec for the user to read,it goes by too fast,yes,no,Yashira Almanza
6,03/11/2024,UI,bug: adventure -> 'house' button doesn’t work,to take to the main page,it didn't take anymore,yes,yes,Yashira Almanza
1,03/11/2024,Tutorial,User Case: Explain what guardians are.,I expected to know what a guardian is.,I guessed what a guardian was and added them.,Yes,No,Angel Venegas
2,03/10/2024,First Tutorial,Clicking outside the highlighted box to trigger a bug,For it to not allow the user to access anything else outside the highlight box that holds the next objective,The user is able to acces outside the highlighted box and trigger other events/objectives,yes if forced,no,Christina Mourad
1,03/12/2024,Tutorial,Timers Take Longer than indicated amount,Timer indicates 30 for it to take 30 seconds.,Timer indicates 30 takes well over a minute,Yes,No,Anthony Daulo
2,03/12/2024,Tutorial,Really High Amounts of latency,Responsive clicks when selecting a card,About a 5 second delay between selecting a card and it being acknoweldged,Yes,no,Anthony Daulo
3,03/12/2024,Tutorial,Card Summoning Animations being skipped,Some type of special graphic to appeare when a card plays,Sound effects occur. About a 5 second delay of just a blank battle field before the card just appears on the board.,Yes,No,Anthony Daulo
6,03/10/2024,Game,user case: gold for hiring guardians seems pointless,gold economy should be important to manage during the game,you get too much gold over time so you can hire as many guardians as you want,yes,no,Justin Reyes
1,03/12/2024,Deck Tutorial,bug: can't put special characters in naming the deck,I expected to put any character I want in naming the deck,I can't put any characters in naming the deck,Yes,no,Mansoor Amza
2,03/11/2024,UI,When doing the Deck Builder Tutorial the Info Cut in blocks the view of button,When I do the Deck Tutorial the Info Cut in dosen't block my view of the button,I cant really click on it since its blocked,yes,yes,Christopher Poveda
3,03/12/2024,UI,Cancel button in the settings menu saves features instead of cancelling,Cancel button cancels any changed feature,Cancel button saves feature,yes,no,Donald Cruz
1,03/12/2024,Deck Builder,Scrolling through cards in deck builder on MacOS,It should be slow and easy to stop at any given point,Its super fast and sensitive which makes it hard to stop at a specific part. Using the built in scroll bar is an option but the user might be more comfortable just using their trackpad,Yes,No,Brandon Hakimi
3,03/12/2024,Profile,Stats are not accurate,I lost 2 games and won 0. Win/Loss should be 0/2,0/0,Yes,No,Brandon Hakimi
3,03/12/2024,Game,"User Case: Timer can give certain time per phase. For me, as a newbie, timer feels a bit too fast as I am having to read the cards before being able to put them down.",Timer to be a little slower.,"Timer feels fair, maybe I have a skill issue.",Yes,No,Renzo Pereyra
4,03/12/2024,Game,user case: timing out in a turn should decrease next turn,if you time out you get punished,turns are always 70 seconds,yes,no,Rahi Misra
,03/12/2024,Game,user case: attack targeting is unresponsive,targeting opponents would be smooth,targeting feels clunky,yes,no,Rahi Misra
,03/12/2024,Game,bug: cant target opponent when they have monsters,I can hit their face,I cant target face,yes,no,Rahi Misra
,03/12/2024,Game,bug: disconnected for afk during opponent’s turn,I can tab out until my turn,got disconnected from game,yes,no,Rahi Misra
2,03/11/2024,Friend search,Blinking pipe is wrong position,Blinking pipe should be in correct position,Does not connect to server,yes,no,Jean Hanna
3,03/12/2024,Game,Music Volume Setting deosnt work,be able to raise or lower music volume,nothing happens,yes,no,Dawson Ford
3,03/11/2024,UI,"bug: Starting the deck builder tutorial, you can back out of the tutorial but the limited clicking region remains, locking the game.",Exiting the tutorial clears the click lock region.,Exiting the tutorial does not clear the click lock region.,yes,yes,Connor Beaudoin
3,03/12/2024,Game,User case: Opponent went and instantly crashed,Be able to play in Arena,Sent back into Login screen,yes,Yes,Ryan Kao
1,03/12/2024,UI,"Adventure Select: The GUI on the page is very inconsistent, some text scales but not all of them, buttons are moved out of frame and the stacked images make it unreadable.","Elements to scale according to window size, within reason","Elements not scaling correctly, elements not visible, etc.",yes,no,Elizabeth Morgan
3,03/12/2024,UI,Tutorial Deck Builder: The blue highlighted square does not match the size of the item it’s highlighting and can use with some adjustments.,Tutorial highlighter to be properly sized.,"Tutorial highlighter sized somewhat randomly, or haphazardly",yes,no,Elizabeth Morgan
1,03/07/2024,UI,Unable to escape Adventure mode,Go back to main menu when clicking on back arrow in Adventure mode,Nothing happens when clicking back arrow,yes,Yes,Randy Herrera
2,03/07/2024,UI,Surrender not counting as a loss,"If ending game with surrender, win-loss should be affected on profile",Win-loss not affected by a surrender,yes,no,Randy Herrera
3,03/07/2024,UI,In-game names are not unique,Changing in-game name should detect existing names,Can set in-game name to a name already in use,yes,no,Randy Herrera
1,03/10/2024,Game,Bug: Text on XP Level in top-right corner clips outside of the progress bar.,XP Level progress text to not clip out of progress bar.,XP Level progress text clips out of the progress bar.,Yes,No,Svarun Soda
2,03/10/2024,Game,User Case: Standardize text font types across entire game.,All GUI text fonts to be the same.,There appear to be 2 different font types across the game.,Yes,No,Svarun Soda
3,03/11/2024,Main Page,"Anime Ultraman window, when clicking latest update or Latest news nothing happens",New windor or information pop up,nothing,Yes,No,Javier
2,03/03/2024,game,Buy more Blue Bolts in adventure mode,"when clicking the ""+"" icon next to the blue bolt I should be prompted with a transaction window to buy more of the blue bolts","when clicking the ""+"", there is nothing that happens",yes,no,shelby gallegos
4,03/01/2024,Game,No preset decks,simple presets to help learn,have to make own deck,yes,yes,Jake Anderson
8,03/10/2024,Game,Time limit in AI arena,adjustable limit,fixed limit,yes,no,jake Anderson
1,03/10/2024,Security login email,user case: too many athentication steps,2 step athentication,5 steps to login,yes,no,Moises Alvarez
,03/09/2024,Main Page,bug: cannot play deck building tutoria,play button leads to tutorial,nothing happens,yes,Yes,Tommy Tran
2,03/10/2024,Gameplay,Checking gameplay log scroll is too fast and not smooth,Having control of scroll,Cant control it,yes,no,Edwin Rivera
1,02/26/2024,First Gameplay Tutorial,Game board doesn't display on Chrome web browser,Game board is displayed,Black screeen,yes,yes,Rishabh Chadha
4,02/26/2024,Settings,"Clicking ""Cancel"" button doesn't unsave changes",Unsave changes made,Changes remain saved,yes,no,Rishabh Chadha
6,02/27/2024,First Gameplay Tutorial,Game board displays on Firefox web browser,Game board is displayed,Game board is displayed,yes,no,Rishabh Chadha
1,02/21/2024,Main Page,New player tutorial is still offered to me after completion,After completion the prompt should go away,Prompt still shows up,yes,no,Dawson Ford
2,02/21/2024,Edit Profile,"Player Title, ""Player Banner"", ""Player Frame"" do not pull up their respective menus",Each of those buttons should pull up their menus,Nothing is happening,yes,no,Dawson Ford
3,02/21/2024,UI/Main Page,Currency is not visible to me,Currency should be found somewhere on the screen,Nothing is there,yes,no,Dawson Ford
8,02/21/2024,Game,Cards clip through the floor when a card is placed on the field,They shake but don’t clip through,Cards clip through when shaking,yes,no,Dawson Ford
9,02/21/2024,NFT Shop,"Cannot access""Avatar Cards"" and ""EG Comics"" in the shop",These menus pull up available cards and comics,Cannot get the dropdown to work,yes,no,Dawson Ford
10,02/21/2024,NFT Shop,Cannot change between block chains,Be able to change blockchains,"An error has occurred while switching chain, please try again.",yes,no,Dawson Ford
11,02/22/2024,Deck Builder,Some characters show incorrect element type when viewing the card,Element types match,They do not mtach,yes,no,Dawson Ford
12,02/22/2024,Main Page,I was prompted to redo the tutorial when loggin in on a different computer,Should not have ben prompted,I was prompted,yes,no,Dawson Ford
1,02/22/2024,BUG - Edit Profile Page,Clicking on edit banner/title/banner does nothing,Changing my Profile's Banner,Nothing happens,yes,no,Bryan Avila
1,02/22/2024,UI,Notifications icon lingers,"After clicking the notification icon, notification icon should be cleared","Notification icon number never cleared, always on number 1",yes,no,Randy Herrera
8,02/27/2024,Game,Refreshing does not fix frozen state,Refresh the page to undo a frozen game state,"After refresh, all games remain in frozen unplayable state",yes,Yes,Randy Herrera
2,02/21/2024,Turotial,Bug: Normal Tutorial practrice,Activating trap card  void trap,The AI Froze and could not continue game,Yes,Yes,Ramon
1,02/24/2024,MainPage,Doesn't change to fit vertical monitors,Thought it would minimize to fit a vertical monitor,it just zoomed in where I couldn’t read the screen,yes,No,Mimi Truong
4,02/24/2024,Matchmaking page,taking too long,expected a match within a minute,Has been almost 5 mins and no match,Yes,No,Mimi Truong
8,02/24/2024,refresh page,Starts all over with authentication,would refresh and stay in the home page since I was already logged in and authenticated,refreshed to the beginning and had to authenticate all over again,yes,Yes,Mimi Truong
12,02/24/2024,Anime ultraman,click latest news/latest update,Give more information,nothing,yes,No,Mimi Truong
3,02/25/2024,Login/UI/Game/Tutorial,"Bug?: After completing the tutorial, I went back to play it again. However, it seems that the tutorial acts as a training ground however, you only have limited amount of cards, leading to a point during the game where both the players and the AI have no cards meaning both cannot draw new ones. If the AI runs out of cards and doesn't have any cards to draw, the AI opponent is stuck in the drawing phase and rather than switching turns,the AI just stays and waits the entire turn. The player must wait until the opponents turn is over, and is either stuck doing nothing or attacks the enemy only to switch turns and wait until the enemy's timer to finish to switch to their turn.",I was expecting to get more cards in the tutorial instead of a limited amount rather than having to wait for the opponents clock to finish because they also can't draw any cards,I had to wait the entire opponents turn to make a move cause they didn't want to skip,Yes,No,Omar Garcia
1,02/26/2024,First Gameplay Tutorial,Randomly get signed out while playing,Complete tutorial,Not able to complete tutorial,yes,no,Jonathan Alcantar
3,02/21/2024,UI,"Training Mode game states ""Exit Tutorial""","Exit button should say ""Exit Training Mode""",Exit Tutorial is displayed,yes,no,Jaztin Tabunda
3,02/21/2024,Game: Graveyard effect,When I have two Fire Crocs on the battlefield and both are killed during the same phase,I should be able to target an enemy guardian for 50 fire damge twice,It only allows me to attack once,yes,no,Herbert Alvarenga
1,02/27/2024,UI,"When in tutorial mode, ui elements were too quick for me to catch up with
For instance, when switching bitween phases, quick notifications would pop up in the middle of the screen
and I would have hard time catching what they said",At least the notifications should  be available for 2 seconds before they disappear,They were too quick,yes,no,Eduard Hovhannisyan
3,02/27/2024,Main Page," news feed buttons (Latest News, Latest Updates) do not do anything when clicked
",Open separate tab for detaild information on each of those buttons,No change when clicked,yes,no,Eduard Hovhannisyan
3,02/26/2024,Login,authentication for repeating users,no authentication needed after the first,authentication and signature needed each time,yes,no,Christina Mourad
6,02/27/2024,Game,clicking and activating items before told by tutorial,doesn't allow/doesn't allow user to access,glitches and doesn't allow for tutorial to resume,yes if really forced,no,Christina Mourad
3,02/21/2024,UI,Tutorial 1 – Using chatroom during tutorial will glitch tutorial checkbox. Was spamming text and pressing Enter.,Typical gameplay.,"Visual bug, player should not have access.",yes,no,Elizabeth Morgan
4,02/21/2024,Game,"Tutorial 1 - Clicking on the fighter card brings up a window to activate or retire the card, causes tutorial cutscene to lock.",Typical gameplay.,Game in a locked state.,yes,yes,Elizabeth Morgan
5,02/21/2024,Game,"Tutorial 1 - Retired all attack cards during turn, between tutorial scenes.",Action prevented by game.,"Game in stalemate, timer/turns run forever.",yes,yes,Elizabeth Morgan
8,02/21/2024,UI,When the health is depleting you cannot see the black font very well. Recommend change to white,,,yes,no,Elizabeth Morgan
10,02/25/2024,Game,"Arena – After matching with another player the game never starts, the Exit Tutorial button is present, so this could be related to the tutorial testing I was doing beforehand. Edit: upon logging out and logging back in, the error persists. I am unable to play with human players.",Typical gameplay with human player.,Game never starts beyond viewing the empty board with 120 timer.,yes,yes,Elizabeth Morgan
1,02/26/2024,Game,"Chose ""Spanish"" as the language but most things, like the tutorials and certain buttons are in English",The whole or at least majority of the game to be in Spanish,Most things are in English,Yes,No,Angeles Montalvo
3,02/27/2024,Login,User Case: Too often needed to resign,Refreshing page should keep you still signed in,"When you refresh the page, it signs you out",Yes,no,Jae Molina
2,02/26/2024,Login,"Literally the same issue as before, can't login magic authentication keeps timing out before it can authenticate me",Allow sign in after new sign in attempt,Please go back to Endersgate and sign the request again,yes,yes,Jaber Mazari
1,02/24/2024,Login,Loging in using google email after making account a few days prior,Login as normal,"Authenticator said im in, but when I go back to the other tab I havn't been logged in",yes,no,Armen Levonan
1,02/21/2024,Game,"bug (typos): ""Earth Coctail"" & ""Lumbejack Nick""","Earth Cocktail & ""Lumberjack Nick""","Earth Coctail & ""Lumbejack Nick""",yes,no,Tum Jomkhanthiphol
2,02/27/2024,Game,"user case: extreamly high latency on windows 11 pc, running on chrome browser. Specs: i9900kf, 2070 super, 32gb ram ddr4, m.2 ssd. Hardwired Lan connection to internet",Expected game to run smoothly. The game does run well on my macbook pro with an m1 pro chip on chrome browser.,"Super high latency causing game run very poorly, practactly makes game unplayable",yes,yes,Jayms Stockdale
1,02/23/2024,Login,"When attempting to log in a second time, authenticator does not work.",Log in,Stuck on the waiting screen,yes,no,Donald Cruz
4,02/27/2024,User Case,"On browser, scrolling through one's card collection is extremely choppy",scroll througH the collection quickly,Choppy scrolling,yes,no,Donald Cruz
4,02/26/2024,Login Page,User Case: I've had to constantly register the same device during login despite the notice that it is a quick one-time approval,I expected the device to remain registered when I was required to register it,I was required to register the device multiple times despite already registering the device,Yes,No,Katrina Ortiz
6,02/26/2024,Login Process,User Case: It would be nice for the Endersgate Auth tab to close automatically after the user is authenticated,I have experienced the automatic closing of the authentication tabs with other applications so I was expecting the authentication tab to close after successful authentication,The authentication tab requires the user to close the tab after successful authentication,Yes,No,Katrina Ortiz
1,02/27/2024,Log In,Logging in with google took a couple tries to get in,Loading into the game,"Nothing, just says ""connecting to the server…"" for 5 minutes",Yes,No,Brandon Hakimi
3,02/21/2024,UI,"user case: formatting for descriptions also the word ""also"" is mistyped as ""alo""",Expected text to fit within the boxes,description did not fit the boxes,yes,no,Renzo Pereyra
4,02/21/2024,Game,"bug: at very random intervals, the game decides to interate through each turn phase for about 2 seconds, adding and subtracting coins, drawing one card every turn.",Expected game to wait until user finishes their turn,"When you reach zero cards in your deck, the game does not end, yet you keep going through the ""draw card"" turn phase like normal.",yes,no,Renzo Pereyra
1,02/26/2024,Game,Bug: In the Tutorial you can attack non-highlighted oppenent guardian,I am blocked from attacking the oppenent's guardian if not highlighted,If I click on the corners of the highlight box I can actually attack the other guardian cards,yes,no,Christopher Poveda
3,02/26/2024,Game SFX,Bug: When oppenent is placing down cards there seems to be a sound overlap/Cracking noise,That each sound sounds crisp without cracking/audio issues,Audio Issues when tutorial opponent places down cards,yes,no,Christopher Poveda
1,02/27/2024,Game,bug: I accidentally exited the tutorial,back to main menu with no issue,back to main menu with tutorial marked complete,yes,no,Michael Green
4,02/27/2024,Login,user case: Temporary email services can be used.,Only allow reputable email services or have a blacklist of common temporary email services.,Login allowed with temporary email service such as yopmail.com,yes,no,Connor Beaudoin
7,02/27/2024,UI,"bug: A blur layer added when clicking ""Add Friends"" never goes away.","Clicking out of the ""Add Friends"" menu removes the blur background.","Clicking out of the ""Add Friends"" menu does not remove the blur background.",yes,yes,Connor Beaudoin
9,02/27/2024,UI,bug: The search function in the leaderboard/tutorials does not filter the results.,Searching for a term shows the filtered results.,Searching for a term does nothing.,yes,no,Connor Beaudoin
13,02/27/2024,UI,user case: The top right dragon crested button menu is at a lower resolution (is blurrier) than the bottom left square ad banner.,The two menu sections have the same level of detail.,The top left menu is blurrier than the bottom right square ad banner.,yes,no,Connor Beaudoin
14,02/27/2024,UI,bug: The tutorial uses my autogenerated ID instead of my custom username.,The tutorial displays my custom username if set before entering the tutorial.,The tutorial displays my default ID username.,yes,no,Connor Beaudoin
17,02/27/2024,Main Page,user case: The center card rotation animation jerks abruptly as the next card appears and the previous card teleports.,The card switching animation is smooth.,The card switching animation jerks and is jarring.,yes,no,Connor Beaudoin
1,02/25/2024,Login,Window Scale,Form to window size,Vertical monitor setup does not adjust to window,Yes,No,Javier Torres
3,02/26/2024,Game,User Case: Add character voice-over for tutorial missions,Tutorial character text to be narrated,Tutorial character text not narrated,Yes,No,Svarun Soda
1,02/26/2024,Tutorial,Blue border remain for a second too long after clicking,Blue border should dissapear after im done clicking on what it tells me to,Blue border remained for a second too long after clicking on what it told me to,Yes,No,Artim Trofimenko
2,02/20/2024,Game,"Hoovering over a guardian/card does not 
 always show the action icon",Show icon when hovering over,"Have to hover over a second or 
 third time for icon to appear",yes,no,Joey Kaz
6,02/20/2024,UI,"Card buillder UI should have counter to tell you how
 many cards you have and/or need",No counter,"Did not know how many cards I
 needed",yes,no,Joey Kaz
0,02/25/2024,Game,Tutorial guide (blue boxes),Guides should solely and instantly glow over the correct card as it is taking me to the next step.,"Guides appear over the wrong card or at random points on the screen, as either the full box or half a box, having me wait before landing on the correct card.",yes,no,Beverly Gramajo
1,02/25/2024,Game,Muting for tab,Tab is muted without muting my entire computer.,"Sound continues even if the sound icon on tab is clicked, nothing happens.",yes,no,Beverly Gramajo
2,02/24/2024,UI/Game,Screen Shake Settings,There should be an options to turn off screen shake,There is no option to do so,Yes,No,Bao Ngo
1,02/25/2024,Game,"Cant proceed in tutorial, certain actions
 get blocked on half monitor screen",proceed with tutorial,blocked form completing,yes,yes,Jake Anderson
5,02/25/2024,Main menu UI,Exiting addd friend menu doesn't exit,Exit add friend menu to main menu,Main page turns into blur image,yes,yes,Rmata Muadthong
7,02/25/2024,Settings option,Difficult to adjust audio setting,Able to hear the audio difference while adjusting before saving,Has to save audio setting in order to hear the changes,yes,no,Rmata Muadthong
8,02/25/2024,Language change,langauge doesnÕt fully change,Language in menu text to be change into desire language,Only some menu text changes into different language,yes,no,Rmata Muadthong
1,02/23/2024,Main Page,I think you need to press Esc twice to close the pop-up window (.gg not .app),The popup closes after pressing Esc once,The popup closes after pressing Esc twice,yes,no,Dov Deifik
4,02/23/2024,Login,"I lost my Internet connection, and was booted back to the login page. I pressed “Email Login” and got the message “Login with email…”. I reconnected my Internet, and the game just stayed like that.",Connecting to my account once my Internet connection was restored,Staying on the login page,yes,no,Dov Deifik
8,02/23/2024,UI,"When you click a card you don’t own in deckbuilding, the notification doesn",A clearer message,A message saying you don’t own the card,yes,no,Dov Deifik
9,02/23/2024,UI,“Are you sure you want to leave the room?” should probably be a different message once you’ve completed the match,A clearer message,“Are you sure you want to leave the room?”,yes,no,Dov Deifik
1,02/25/2024,Internet connection,High latency issue for me because of bad internet connection on my end i believe i recieved latency of 6000 so the game was hard to play. I played in web browser.,Smother run time game experience,High latency,Yes,Not sure,"Your name
 Salman Khan"
1,02/25/2024,Login,Reauthorizing is annoying. I went to a different app and I had to redo it.,I can come back and continue game.,I had to reauthorize.,yes,Yes/no,Jaylon Hartdige
3,02/24/2024,Game,inaccessible deck builder tutorial,deck builder tutorial is played,nothing,yes,yes,Sungbin Cho
